proxy,fold,method,seed,n_source_files,n_target_files,n_source_windows,n_target_windows,n_features,fit_seconds,macro_f1,accuracy,n_classes,f1_B,f1_IR,f1_OR,f1_N,recall_B,recall_IR,recall_OR,recall_N
A_P3,12k_to_48k,M1,1,105,52,3263,745,49,2.7862131595611572,0.4908114950192745,0.4966442953020134,3,0.6844919786096256,0.2779291553133515,0.5100133511348465,,0.7111111111111111,0.30177514792899407,0.4823232323232323,
A_P3,48k_to_12k,M1,1,52,105,745,3263,49,1.1716337203979492,0.598345064011221,0.61569108182654,3,0.5673940949935815,0.5657320872274143,0.6619090098126673,,0.5092165898617511,0.5230414746543779,0.7288801571709234,
A_P3,12k_to_48k,M2,0,105,52,3263,745,49,3.6692330837249756,0.5567515502113762,0.5798657718120805,3,0.6796657381615598,0.3490304709141274,0.6415584415584416,,0.6777777777777778,0.3727810650887574,0.6237373737373737,
A_P3,48k_to_12k,M2,0,52,105,745,3263,49,1.3164267539978027,0.552550097854129,0.5691081826539994,3,0.56640625,0.4757221880762139,0.6155218554861731,,0.5011520737327189,0.44585253456221197,0.6777996070726916,
A_P3,12k_to_48k,M2,1,105,52,3263,745,49,3.608062982559204,0.5567515502113762,0.5798657718120805,3,0.6796657381615598,0.3490304709141274,0.6415584415584416,,0.6777777777777778,0.3727810650887574,0.6237373737373737,
A_P3,48k_to_12k,M2,1,52,105,745,3263,49,1.3052287101745605,0.552550097854129,0.5691081826539994,3,0.56640625,0.4757221880762139,0.6155218554861731,,0.5011520737327189,0.44585253456221197,0.6777996070726916,
A_P3,12k_to_48k,M3,0,105,52,3263,745,49,3.394369602203369,0.4748181820451715,0.508724832214765,3,0.6746987951807228,0.17901234567901234,0.5707434052757794,,0.6222222222222222,0.17159763313609466,0.601010101010101,
A_P3,48k_to_12k,M3,0,52,105,745,3263,49,1.197857141494751,0.4363489347834943,0.476861783634692,3,0.5687074829931973,0.2470059880239521,0.49333333333333335,,0.9631336405529954,0.19009216589861752,0.36345776031434185,
A_P3,12k_to_48k,M3,1,105,52,3263,745,49,3.379335641860962,0.4748181820451715,0.508724832214765,3,0.6746987951807228,0.17901234567901234,0.5707434052757794,,0.6222222222222222,0.17159763313609466,0.601010101010101,
A_P3,48k_to_12k,M3,1,52,105,745,3263,49,1.2247135639190674,0.4363489347834943,0.476861783634692,3,0.5687074829931973,0.2470059880239521,0.49333333333333335,,0.9631336405529954,0.19009216589861752,0.36345776031434185,
A_P3,12k_to_48k,M4,0,105,52,3263,745,49,2.8874425888061523,0.4908114950192745,0.4966442953020134,3,0.6844919786096256,0.2779291553133515,0.5100133511348465,,0.7111111111111111,0.30177514792899407,0.4823232323232323,
A_P3,48k_to_12k,M4,0,52,105,745,3263,49,1.1661975383758545,0.598345064011221,0.61569108182654,3,0.5673940949935815,0.5657320872274143,0.6619090098126673,,0.5092165898617511,0.5230414746543779,0.7288801571709234,
A_P3,12k_to_48k,M4,1,105,52,3263,745,49,2.884340763092041,0.4908114950192745,0.4966442953020134,3,0.6844919786096256,0.2779291553133515,0.5100133511348465,,0.7111111111111111,0.30177514792899407,0.4823232323232323,
A_P3,48k_to_12k,M4,1,52,105,745,3263,49,1.2368690967559814,0.598345064011221,0.61569108182654,3,0.5673940949935815,0.5657320872274143,0.6619090098126673,,0.5092165898617511,0.5230414746543779,0.7288801571709234,
A_P3,12k_to_48k,M5,0,105,52,3263,745,49,16.719887256622314,0.6890928161457358,0.7114093959731543,3,0.6458333333333334,0.6642335766423357,0.7572115384615384,,0.6888888888888889,0.5384615384615384,0.7954545454545454,
A_P3,48k_to_12k,M5,0,52,105,745,3263,49,13.465501308441162,0.6369149187870702,0.6386760649708857,3,0.611764705882353,0.6495176848874598,0.6494623655913978,,0.6589861751152074,0.6981566820276498,0.593320235756385,
A_P3,12k_to_48k,M5,1,105,52,3263,745,49,16.407492876052856,0.6890928161457358,0.7114093959731543,3,0.6458333333333334,0.6642335766423357,0.7572115384615384,,0.6888888888888889,0.5384615384615384,0.7954545454545454,
A_P3,48k_to_12k,M5,1,52,105,745,3263,49,13.499497413635254,0.6369149187870702,0.6386760649708857,3,0.611764705882353,0.6495176848874598,0.6494623655913978,,0.6589861751152074,0.6981566820276498,0.593320235756385,
A_P3,12k_to_48k,M6,0,105,52,3263,745,49,20.48451042175293,0.5506325821053785,0.5704697986577181,3,0.6855524079320113,0.33695652173913043,0.6293888166449935,,0.6722222222222223,0.3668639053254438,0.6111111111111112,
A_P3,48k_to_12k,M6,0,52,105,745,3263,49,15.18416976928711,0.5663942354589601,0.5850444376340791,3,0.5757377049180328,0.4896421845574388,0.6338028169014085,,0.5057603686635944,0.44930875576036866,0.7072691552062869,
A_P3,12k_to_48k,M6,1,105,52,3263,745,49,20.454660654067993,0.5506325821053785,0.5704697986577181,3,0.6855524079320113,0.33695652173913043,0.6293888166449935,,0.6722222222222223,0.3668639053254438,0.6111111111111112,
A_P3,48k_to_12k,M6,1,52,105,745,3263,49,15.324416637420654,0.5663942354589601,0.5850444376340791,3,0.5757377049180328,0.4896421845574388,0.6338028169014085,,0.5057603686635944,0.44930875576036866,0.7072691552062869,
A_P3,12k_to_48k,M7,0,105,52,3263,745,49,6.68472957611084,0.6342132999937191,0.6308724832214765,3,0.6433566433566433,0.6474820143884892,0.6118012422360248,,0.7666666666666667,0.7988165680473372,0.49747474747474746,
A_P3,48k_to_12k,M7,0,52,105,745,3263,49,4.899701118469238,0.6364403513356063,0.6365307998774135,3,0.6370143149284253,0.6349693251533742,0.6373374139250191,,0.717741935483871,0.7154377880184332,0.5455140798952194,
A_P3,12k_to_48k,M7,1,105,52,3263,745,49,6.619038343429565,0.6342132999937191,0.6308724832214765,3,0.6433566433566433,0.6474820143884892,0.6118012422360248,,0.7666666666666667,0.7988165680473372,0.49747474747474746,
A_P3,48k_to_12k,M7,1,52,105,745,3263,49,4.917030334472656,0.6364403513356063,0.6365307998774135,3,0.6370143149284253,0.6349693251533742,0.6373374139250191,,0.717741935483871,0.7154377880184332,0.5455140798952194,
A_P3,12k_to_48k,M10,0,105,52,3263,745,49,25.540282249450684,0.6766124931260595,0.6993288590604027,3,0.6649076517150396,0.6228373702422145,0.7420924574209246,,0.7,0.5325443786982249,0.7702020202020202,
A_P3,48k_to_12k,M10,0,52,105,745,3263,49,17.02744698524475,0.6230326019164111,0.625804474410052,3,0.6055776892430279,0.6256239600665557,0.6378961564396494,,0.6129032258064516,0.6497695852534562,0.6195153896529142,
A_P3,12k_to_48k,M10,1,105,52,3263,745,49,25.911142110824585,0.6766124931260595,0.6993288590604027,3,0.6649076517150396,0.6228373702422145,0.7420924574209246,,0.7,0.5325443786982249,0.7702020202020202,
A_P3,48k_to_12k,M10,1,52,105,745,3263,49,17.224411249160767,0.6230326019164111,0.625804474410052,3,0.6055776892430279,0.6256239600665557,0.6378961564396494,,0.6129032258064516,0.6497695852534562,0.6195153896529142,
A_P4,DE_to_FE,M0,0,60,45,1860,1403,49,1.6674444675445557,0.3316345979125411,0.41625089094796863,3,0.45049954586739327,0.013303769401330377,0.5311004784688995,,0.6666666666666666,0.008064516129032258,0.5053110773899848,
A_P4,FE_to_DE,M0,0,45,60,1403,1860,49,1.5518836975097656,0.27553465220069945,0.3301075268817204,3,0.3308550185873606,0.05201560468140442,0.4437333333333333,,0.3588709677419355,0.04032258064516129,0.4792626728110599,
A_P4,DE_to_FE,M0,1,60,45,1860,1403,49,1.5581378936767578,0.3316345979125411,0.41625089094796863,3,0.45049954586739327,0.013303769401330377,0.5311004784688995,,0.6666666666666666,0.008064516129032258,0.5053110773899848,
A_P4,FE_to_DE,M0,1,45,60,1403,1860,49,1.5435831546783447,0.27553465220069945,0.3301075268817204,3,0.3308550185873606,0.05201560468140442,0.4437333333333333,,0.3588709677419355,0.04032258064516129,0.4792626728110599,
A_P4,DE_to_FE,M1,0,60,45,1860,1403,49,1.5621256828308105,0.23752634855068686,0.2915181753385602,3,0.2624113475177305,0.010884353741496598,0.43928334439283345,,0.1989247311827957,0.010752688172043012,0.5022761760242792,
A_P4,FE_to_DE,M1,0,45,60,1403,1860,49,1.5513248443603516,0.349055476750719,0.3844086021505376,3,0.3391188251001335,0.22532402791625125,0.48272357723577236,,0.2560483870967742,0.22782258064516128,0.5472350230414746,
A_P4,DE_to_FE,M1,1,60,45,1860,1403,49,1.4931623935699463,0.23752634855068686,0.2915181753385602,3,0.2624113475177305,0.010884353741496598,0.43928334439283345,,0.1989247311827957,0.010752688172043012,0.5022761760242792,
A_P4,FE_to_DE,M1,1,45,60,1403,1860,49,1.6070759296417236,0.349055476750719,0.3844086021505376,3,0.3391188251001335,0.22532402791625125,0.48272357723577236,,0.2560483870967742,0.22782258064516128,0.5472350230414746,
A_P4,DE_to_FE,M2,0,60,45,1860,1403,49,2.1978163719177246,0.4134477238735019,0.4183891660727014,3,0.5728770595690748,0.23086900129701687,0.43659711075441415,,0.6075268817204301,0.239247311827957,0.41274658573596357,
A_P4,FE_to_DE,M2,0,45,60,1403,1860,49,1.9626357555389404,0.325280396392833,0.35268817204301073,3,0.3992015968063872,0.16273584905660377,0.413903743315508,,0.4032258064516129,0.13911290322580644,0.44585253456221197,
A_P4,DE_to_FE,M2,1,60,45,1860,1403,49,2.2683207988739014,0.4134477238735019,0.4183891660727014,3,0.5728770595690748,0.23086900129701687,0.43659711075441415,,0.6075268817204301,0.239247311827957,0.41274658573596357,
A_P4,FE_to_DE,M2,1,45,60,1403,1860,49,1.983173131942749,0.325280396392833,0.35268817204301073,3,0.3992015968063872,0.16273584905660377,0.413903743315508,,0.4032258064516129,0.13911290322580644,0.44585253456221197,
