protocol,feature_set,model,seed,fold,n_train_files,n_test_files,n_train_windows,n_test_windows,n_features,fit_seconds,predict_ms_per_1k,accuracy,macro_f1,weighted_f1,n_classes,file_accuracy,file_macro_f1,n_test_files_eval,precision_B,recall_B,f1_B,precision_IR,recall_IR,f1_IR,precision_OR,recall_OR,f1_OR,precision_N,recall_N,f1_N
P5,F2,hgb,2,fold1,43,13,646,211,49,1.1239168643951416,94.39680813613097,0.9241706161137441,0.9253286630578175,0.9198939378619369,4,0.9230769230769231,0.9307692307692308,13,0.967741935483871,0.6666666666666666,0.7894736842105263,1.0,0.9777777777777777,0.9887640449438202,0.8571428571428571,1.0,0.9230769230769231,1.0,1.0,1.0
P5,F2,hgb,2,fold2,45,11,693,164,49,1.1106359958648682,106.90601860604636,0.8902439024390244,0.8839742819273736,0.8844748169341232,4,0.9090909090909091,0.8974358974358974,11,0.9473684210526315,0.6,0.7346938775510204,1.0,0.9473684210526315,0.972972972972973,0.8681318681318682,0.9404761904761905,0.9028571428571428,0.8611111111111112,1.0,0.9253731343283582
P5,F2,hgb,2,fold3,46,10,715,142,49,1.1362285614013672,113.01208549821881,0.7816901408450704,0.6347905282331512,0.7430154698683907,4,0.8,0.6388888888888888,10,0.5087719298245614,0.9666666666666667,0.6666666666666666,0.967741935483871,1.0,0.9836065573770492,0.9629629629629629,0.8253968253968254,0.8888888888888888,0.0,0.0,0.0
P5,F2,hgb,2,fold4,47,9,728,129,49,1.1462657451629639,120.46791786371274,0.9612403100775194,0.9593068758223023,0.961038623723805,3,1.0,1.0,9,1.0,0.9333333333333333,0.9655172413793104,1.0,0.9,0.9473684210526315,0.9324324324324325,1.0,0.965034965034965,,,
P5,F3,lr,0,fold0,43,13,646,211,57,0.020096302032470703,1.2870083487994297,0.6682464454976303,0.6498843006751115,0.6731788874255236,4,0.6923076923076923,0.6583333333333333,13,0.25,0.24444444444444444,0.24719101123595505,0.9318181818181818,0.9111111111111111,0.9213483146067416,0.8955223880597015,0.6666666666666666,0.7643312101910829,0.5178571428571429,0.9354838709677419,0.6666666666666666
P5,F3,lr,0,fold1,43,13,646,211,57,0.0544891357421875,1.296047915779584,0.7488151658767772,0.6008795950543523,0.7007139090146499,4,0.8461538461538461,0.6474358974358974,13,0.4827586206896552,0.6222222222222222,0.5436893203883495,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.819047619047619,0.9555555555555556,0.882051282051282,0.0,0.0,0.0
P5,F3,lr,0,fold2,45,11,693,164,57,0.27149367332458496,1.5991490061690168,0.6829268292682927,0.6488828502415459,0.6935489572287027,4,0.7272727272727273,0.6666666666666666,11,0.42424242424242425,0.4666666666666667,0.4444444444444444,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.868421052631579,0.7857142857142857,0.825,0.4473684210526316,0.5483870967741935,0.4927536231884058
P5,F3,lr,0,fold3,46,10,715,142,57,0.2806508541107178,1.9325336939852003,0.7605633802816901,0.6547619047619048,0.7469818913480886,4,0.8,0.6722222222222223,10,0.5370370370370371,0.9666666666666667,0.6904761904761905,1.0,1.0,1.0,0.9795918367346939,0.7619047619047619,0.8571428571428571,0.1111111111111111,0.05263157894736842,0.07142857142857142
P5,F3,lr,0,fold4,47,9,728,129,57,0.27887892723083496,2.1864277447840963,0.9689922480620154,0.9737923946557041,0.9795406199956979,3,1.0,1.0,9,1.0,0.8666666666666667,0.9285714285714286,1.0,1.0,1.0,0.9857142857142858,1.0,0.9928057553956835,,,
P5,F3,lr,1,fold0,43,13,646,211,57,0.02203679084777832,1.3152569956124112,0.6682464454976303,0.6498843006751115,0.6731788874255236,4,0.6923076923076923,0.6583333333333333,13,0.25,0.24444444444444444,0.24719101123595505,0.9318181818181818,0.9111111111111111,0.9213483146067416,0.8955223880597015,0.6666666666666666,0.7643312101910829,0.5178571428571429,0.9354838709677419,0.6666666666666666
P5,F3,lr,1,fold1,43,13,646,211,57,0.05575728416442871,1.3005676992696609,0.7488151658767772,0.6008795950543523,0.7007139090146499,4,0.8461538461538461,0.6474358974358974,13,0.4827586206896552,0.6222222222222222,0.5436893203883495,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.819047619047619,0.9555555555555556,0.882051282051282,0.0,0.0,0.0
P5,F3,lr,1,fold2,45,11,693,164,57,0.26051998138427734,1.622409355349657,0.6829268292682927,0.6488828502415459,0.6935489572287027,4,0.7272727272727273,0.6666666666666666,11,0.42424242424242425,0.4666666666666667,0.4444444444444444,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.868421052631579,0.7857142857142857,0.825,0.4473684210526316,0.5483870967741935,0.4927536231884058
